benchmark,sf,query,total_wall_s,overhead_s,n_reps,single_query_ms,status
tpch,10,q11_sf2,9.8835,8.3644,100,15.19,OK
tpch,10,q11_sf20,9.8214,8.3644,100,14.57,OK
tpch,10,q12,10.9993,8.3644,100,26.35,OK
tpch,10,q13,11.4354,8.3644,100,30.71,OK
tpch,10,q14,10.066,8.3644,100,17.02,OK
tpch,10,q15,10.1006,8.3644,100,17.36,OK
tpch,10,q16,12.9597,8.3644,100,45.95,OK
tpch,10,q17,11.3378,8.3644,100,29.73,OK
tpch,10,q18,12.2969,8.3644,100,39.33,OK
tpch,10,q19,12.3598,8.3644,100,39.95,OK
tpch,10,q20,11.3523,8.3644,100,29.88,OK
tpch,10,q21,14.6276,8.3644,100,62.63,OK
tpch,10,q22,9.6629,8.3644,100,12.99,OK
tpch,20,q01,29.2922,8.3644,100,209.28,FALLBACK
tpch,20,q02,12.2537,8.3644,100,38.89,OK
tpch,20,q03,12.1549,8.3644,100,37.9,OK
tpch,20,q04,12.2258,8.3644,100,38.61,OK
tpch,20,q05,12.7433,8.3644,100,43.79,OK
tpch,20,q06,11.2651,8.3644,100,29.01,OK
tpch,20,q07,13.4449,8.3644,100,50.81,OK
tpch,20,q08,18.3238,8.3644,100,99.59,OK
tpch,20,q09,18.9304,8.3644,100,105.66,OK
tpch,20,q10,22.7669,8.3644,100,144.02,OK
tpch,20,q11_sf1,10.2063,8.3644,100,18.42,OK
tpch,20,q11_sf10,10.1558,8.3644,100,17.91,OK
tpch,20,q11_sf2,10.3529,8.3644,100,19.89,OK
tpch,20,q11_sf20,10.0716,8.3644,100,17.07,OK
tpch,20,q12,13.6228,8.3644,100,52.58,OK
tpch,20,q13,15.163,8.3644,100,67.99,OK
tpch,20,q14,11.0437,8.3644,100,26.79,OK
tpch,20,q15,11.279,8.3644,100,29.15,OK
tpch,20,q16,17.9734,8.3644,100,96.09,OK
tpch,20,q17,13.3779,8.3644,100,50.14,OK
tpch,20,q18,15.5738,8.3644,100,72.09,OK
tpch,20,q19,15.6514,8.3644,100,72.87,OK
tpch,20,q20,12.9481,8.3644,100,45.84,OK
tpch,20,q21,19.159,8.3644,100,107.95,OK
tpch,20,q22,10.073,8.3644,100,17.09,OK
h2o,1gb,q1,16.598,15.9511,5,129.38,OK
h2o,1gb,q10,25.53,15.9511,5,1915.78,OK
h2o,1gb,q2,19.7735,15.9511,5,764.48,OK
h2o,1gb,q3,18.0186,15.9511,5,413.5,OK
h2o,1gb,q4,21.2808,15.9511,5,1065.94,OK
h2o,1gb,q5,16.8046,15.9511,5,170.7,OK
h2o,1gb,q6,17.2997,15.9511,5,269.72,OK
h2o,1gb,q7,17.6644,15.9511,5,342.66,OK
h2o,1gb,q8,16.6382,15.9511,5,137.42,OK
h2o,1gb,q9,20.2087,15.9511,5,851.52,OK
h2o,2gb,q1,20.4124,15.9511,5,892.26,OK
h2o,2gb,q10,38.5239,15.9511,5,4514.56,FALLBACK
h2o,2gb,q2,17.5653,15.9511,5,322.84,OK
h2o,2gb,q3,19.5136,15.9511,5,712.5,OK
h2o,2gb,q4,17.1491,15.9511,5,239.6,OK
h2o,2gb,q5,17.1476,15.9511,5,239.3,OK
h2o,2gb,q6,17.1594,15.9511,5,241.66,OK
h2o,2gb,q7,18.649,15.9511,5,539.58,OK
h2o,2gb,q8,17.0553,15.9511,5,220.84,OK
h2o,2gb,q9,17.468,15.9511,5,303.38,OK
h2o,3gb,q1,21.125,15.9511,5,1034.78,OK
h2o,3gb,q10,68.1417,15.9511,5,10438.12,FALLBACK
h2o,3gb,q2,22.0919,15.9511,5,1228.16,OK
h2o,3gb,q3,29.03,15.9511,5,2615.78,OK
h2o,3gb,q4,21.9646,15.9511,5,1202.7,OK
h2o,3gb,q5,17.6092,15.9511,5,331.62,OK
h2o,3gb,q6,17.7683,15.9511,5,363.44,OK
h2o,3gb,q7,24.4832,15.9511,5,1706.42,OK
h2o,3gb,q8,21.346,15.9511,5,1078.98,OK
h2o,3gb,q9,23.185,15.9511,5,1446.78,OK
h2o,4gb,q1,17.9943,15.9511,5,408.64,OK
h2o,4gb,q10,77.3788,15.9511,5,12285.54,FALLBACK
h2o,4gb,q2,18.5524,15.9511,5,520.26,OK
h2o,4gb,q3,21.8067,15.9511,5,1171.12,OK
h2o,4gb,q4,18.451,15.9511,5,499.98,OK
h2o,4gb,q5,18.5832,15.9511,5,526.42,OK
h2o,4gb,q6,18.1983,15.9511,5,449.44,OK
h2o,4gb,q7,20.794,15.9511,5,968.58,OK
h2o,4gb,q8,17.9496,15.9511,5,399.7,OK
h2o,4gb,q9,19.5685,15.9511,5,723.48,OK
clickbench,10,q0,8.2596,8.3644,1,0,OK
clickbench,10,q1,8.3281,8.3644,1,0,OK
clickbench,10,q10,8.816,8.3644,1,451.6,OK
clickbench,10,q11,9.0458,8.3644,1,681.4,OK
clickbench,10,q12,8.8593,8.3644,1,494.9,OK
clickbench,10,q13,10.0352,8.3644,1,1670.8,OK
clickbench,10,q14,8.8564,8.3644,1,492.0,OK
clickbench,10,q15,8.7393,8.3644,1,374.9,OK
clickbench,10,q16,8.9496,8.3644,1,585.2,OK
clickbench,10,q17,8.7759,8.3644,1,411.5,OK
clickbench,10,q18,9.1106,8.3644,1,746.2,OK
clickbench,10,q19,8.5506,8.3644,1,186.2,OK
clickbench,10,q2,8.5486,8.3644,1,184.2,OK
clickbench,10,q20,9.3665,8.3644,1,1002.1,OK
clickbench,10,q21,9.6318,8.3644,1,1267.4,OK
clickbench,10,q22,11.0555,8.3644,1,2691.1,OK
clickbench,10,q23,10.402,8.3644,1,2037.6,OK
clickbench,10,q24,8.7623,8.3644,1,397.9,OK
clickbench,10,q25,8.7626,8.3644,1,398.2,OK
clickbench,10,q26,8.7878,8.3644,1,423.4,OK
clickbench,10,q27,9.5534,8.3644,1,1189.0,OK
clickbench,10,q28,10.3049,8.3644,1,1940.5,OK
clickbench,10,q29,9.4967,8.3644,1,1132.3,OK
clickbench,10,q3,8.6293,8.3644,1,264.9,OK
clickbench,10,q30,8.9365,8.3644,1,572.1,OK
clickbench,10,q31,9.0032,8.3644,1,638.8,OK
clickbench,10,q32,9.1396,8.3644,1,775.2,OK
clickbench,10,q33,9.7952,8.3644,1,1430.8,OK
clickbench,10,q34,9.8933,8.3644,1,1528.9,OK
clickbench,10,q35,8.7612,8.3644,1,396.8,OK
clickbench,10,q36,9.6211,8.3644,1,1256.7,OK
clickbench,10,q37,9.7907,8.3644,1,1426.3,OK
clickbench,10,q38,9.4903,8.3644,1,1125.9,OK
clickbench,10,q39,10.5511,8.3644,1,2186.7,OK
clickbench,10,q4,8.5536,8.3644,1,189.2,OK
clickbench,10,q40,8.8312,8.3644,1,466.8,OK
clickbench,10,q41,9.082,8.3644,1,717.6,OK
clickbench,10,q42,8.6351,8.3644,1,270.7,OK
clickbench,10,q5,10.2834,8.3644,1,1919.0,OK
clickbench,10,q6,8.4676,8.3644,1,103.2,OK
clickbench,10,q7,8.3998,8.3644,1,35.4,OK
clickbench,10,q8,10.6671,8.3644,1,2302.7,OK
clickbench,10,q9,10.7335,8.3644,1,2369.1,OK
clickbench,20,q0,8.3375,8.3644,1,0,OK
clickbench,20,q1,8.4652,8.3644,1,100.8,OK
clickbench,20,q10,9.1673,8.3644,1,802.9,OK
clickbench,20,q11,9.3837,8.3644,1,1019.3,OK
clickbench,20,q12,9.0815,8.3644,1,717.1,OK
clickbench,20,q13,10.484,8.3644,1,2119.6,OK
clickbench,20,q14,9.0812,8.3644,1,716.8,OK
clickbench,20,q15,8.788,8.3644,1,423.6,OK
clickbench,20,q16,9.2487,8.3644,1,884.3,OK
clickbench,20,q17,9.1466,8.3644,1,782.2,OK
clickbench,20,q18,9.6872,8.3644,1,1322.8,OK
clickbench,20,q19,8.5355,8.3644,1,171.1,OK
clickbench,20,q2,8.6553,8.3644,1,290.9,OK
clickbench,20,q20,10.0063,8.3644,1,1641.9,OK
clickbench,20,q21,10.573,8.3644,1,2208.6,OK
clickbench,20,q22,12.8327,8.3644,1,4468.3,OK
clickbench,20,q23,12.0728,8.3644,1,3708.4,OK
clickbench,20,q24,9.0756,8.3644,1,711.2,OK
clickbench,20,q25,8.961,8.3644,1,596.6,OK
clickbench,20,q26,9.0602,8.3644,1,695.8,OK
clickbench,20,q27,10.3366,8.3644,1,1972.2,OK
clickbench,20,q28,11.4478,8.3644,1,3083.4,OK
clickbench,20,q29,9.5153,8.3644,1,1150.9,OK
clickbench,20,q3,8.5953,8.3644,1,230.9,OK
clickbench,20,q30,9.2916,8.3644,1,927.2,OK
clickbench,20,q31,9.5502,8.3644,1,1185.8,OK
clickbench,20,q32,9.7061,8.3644,1,1341.7,OK
clickbench,20,q33,10.1641,8.3644,1,1799.7,OK
clickbench,20,q34,10.1917,8.3644,1,1827.3,OK
clickbench,20,q35,8.978,8.3644,1,613.6,OK
clickbench,20,q36,10.2275,8.3644,1,1863.1,OK
clickbench,20,q37,10.532,8.3644,1,2167.6,OK
clickbench,20,q38,10.0731,8.3644,1,1708.7,OK
clickbench,20,q39,11.6951,8.3644,1,3330.7,OK
clickbench,20,q4,8.6756,8.3644,1,311.2,OK
clickbench,20,q40,9.2884,8.3644,1,924.0,OK
clickbench,20,q41,9.0405,8.3644,1,676.1,OK
clickbench,20,q42,8.7637,8.3644,1,399.3,OK
clickbench,20,q5,10.5308,8.3644,1,2166.4,OK
clickbench,20,q6,8.5488,8.3644,1,184.4,OK
clickbench,20,q7,8.5247,8.3644,1,160.3,OK
clickbench,20,q8,11.9081,8.3644,1,3543.7,OK
clickbench,20,q9,12.0435,8.3644,1,3679.1,OK
clickbench,50,q0,8.3752,8.3644,1,10.8,OK
clickbench,50,q1,8.5567,8.3644,1,192.3,OK
clickbench,50,q10,9.8764,8.3644,1,1512.0,OK
clickbench,50,q11,10.1207,8.3644,1,1756.3,OK
clickbench,50,q12,9.7304,8.3644,1,1366.0,OK
clickbench,50,q13,12.4738,8.3644,1,4109.4,OK
clickbench,50,q14,9.8502,8.3644,1,1485.8,OK
clickbench,50,q15,9.0845,8.3644,1,720.1,OK
clickbench,50,q16,10.2199,8.3644,1,1855.5,OK
clickbench,50,q17,10.192,8.3644,1,1827.6,OK
clickbench,50,q18,10.9542,8.3644,1,2589.8,OK
clickbench,50,q19,8.717,8.3644,1,352.6,OK
clickbench,50,q2,8.7951,8.3644,1,430.7,OK
clickbench,50,q20,12.2858,8.3644,1,3921.4,OK
clickbench,50,q21,13.3721,8.3644,1,5007.7,OK
clickbench,50,q22,101.6624,8.3644,1,93298.0,FALLBACK
clickbench,50,q23,17.2115,8.3644,1,8847.1,FALLBACK
clickbench,50,q24,9.904,8.3644,1,1539.6,OK
clickbench,50,q25,9.7346,8.3644,1,1370.2,OK
clickbench,50,q26,9.8421,8.3644,1,1477.7,OK
clickbench,50,q27,13.6547,8.3644,1,5290.3,OK
clickbench,50,q28,39.1678,8.3644,1,30803.4,FALLBACK
clickbench,50,q29,9.2917,8.3644,1,927.3,OK
clickbench,50,q3,8.7591,8.3644,1,394.7,OK
clickbench,50,q30,10.3182,8.3644,1,1953.8,OK
clickbench,50,q31,10.8474,8.3644,1,2483.0,OK
clickbench,50,q32,11.1285,8.3644,1,2764.1,OK
clickbench,50,q33,12.4267,8.3644,1,4062.3,OK
clickbench,50,q34,12.4709,8.3644,1,4106.5,OK
clickbench,50,q35,9.3575,8.3644,1,993.1,OK
clickbench,50,q36,12.7075,8.3644,1,4343.1,OK
clickbench,50,q37,12.6927,8.3644,1,4328.3,OK
clickbench,50,q38,12.4063,8.3644,1,4041.9,OK
clickbench,50,q39,16.0386,8.3644,1,7674.2,OK
clickbench,50,q4,9.0356,8.3644,1,671.2,OK
clickbench,50,q40,10.0165,8.3644,1,1652.1,OK
clickbench,50,q41,9.7911,8.3644,1,1426.7,OK
clickbench,50,q42,9.1044,8.3644,1,740.0,OK
clickbench,50,q5,12.1361,8.3644,1,3771.7,OK
clickbench,50,q6,8.7382,8.3644,1,373.8,OK
clickbench,50,q7,8.6344,8.3644,1,270.0,OK
clickbench,50,q8,15.0226,8.3644,1,6658.2,OK
clickbench,50,q9,15.063,8.3644,1,6698.6,OK
clickbench,100,q0,8.3582,8.3644,1,0,OK
clickbench,100,q1,8.7555,8.3644,1,391.1,OK
clickbench,100,q10,11.2045,8.3644,1,2840.1,OK
clickbench,100,q11,11.7209,8.3644,1,3356.5,OK
clickbench,100,q12,11.0575,8.3644,1,2693.1,OK
clickbench,100,q13,16.5561,8.3644,1,8191.7,OK
clickbench,100,q14,11.1267,8.3644,1,2762.3,OK
clickbench,100,q15,9.6824,8.3644,1,1318.0,OK
clickbench,100,q16,11.9498,8.3644,1,3585.4,OK
clickbench,100,q17,11.9985,8.3644,1,3634.1,OK
clickbench,100,q18,13.4226,8.3644,1,5058.2,OK
clickbench,100,q19,9.1805,8.3644,1,816.1,OK
clickbench,100,q2,9.16,8.3644,1,795.6,OK
clickbench,100,q20,17.9587,8.3644,1,9594.3,FALLBACK
clickbench,100,q21,131.887,8.3644,1,123522.6,FALLBACK
clickbench,100,q22,212.874,8.3644,1,204509.6,FALLBACK
clickbench,100,q23,173.116,8.3644,1,164751.6,FALLBACK
clickbench,100,q24,11.468,8.3644,1,3103.6,OK
clickbench,100,q25,10.8716,8.3644,1,2507.2,OK
clickbench,100,q26,11.3174,8.3644,1,2953.0,OK
clickbench,100,q27,19.665,8.3644,1,11300.6,FALLBACK
clickbench,100,q28,68.2669,8.3644,1,59902.5,FALLBACK
clickbench,100,q29,9.5803,8.3644,1,1215.9,OK
clickbench,100,q3,9.1142,8.3644,1,749.8,OK
clickbench,100,q30,12.2531,8.3644,1,3888.7,OK
clickbench,100,q31,12.8875,8.3644,1,4523.1,OK
clickbench,100,q32,13.9416,8.3644,1,5577.2,OK
clickbench,100,q33,19.9638,8.3644,1,11599.4,FALLBACK
clickbench,100,q34,20.1045,8.3644,1,11740.1,FALLBACK
clickbench,100,q35,10.2367,8.3644,1,1872.3,OK
clickbench,100,q36,104.1526,8.3644,1,95788.2,FALLBACK
clickbench,100,q37,79.5559,8.3644,1,71191.5,FALLBACK
clickbench,100,q38,99.4311,8.3644,1,91066.7,FALLBACK
clickbench,100,q39,176.0158,8.3644,1,167651.4,FALLBACK
clickbench,100,q4,9.6033,8.3644,1,1238.9,OK
clickbench,100,q40,11.5272,8.3644,1,3162.8,OK
clickbench,100,q41,11.1108,8.3644,1,2746.4,OK
clickbench,100,q42,9.7083,8.3644,1,1343.9,OK
clickbench,100,q5,15.9959,8.3644,1,7631.5,OK
clickbench,100,q6,9.1992,8.3644,1,834.8,OK
clickbench,100,q7,8.7634,8.3644,1,399.0,OK
clickbench,100,q8,21.6265,8.3644,1,13262.1,OK
clickbench,100,q9,22.1813,8.3644,1,13816.9,OK
